id,date,hour,station_id,aqi,main_pollutant,co,co_avg8,co_avg24,co_iaqi,no2,no2_avg8,no2_avg24,no2_iaqi,so2,so2_avg8,so2_avg24,so2_iaqi,o3,o3_avg8,o3_avg24,o3_iaqi,pm10,pm10_avg8,pm10_avg24,pm10_iaqi,pm25,pm25_avg8,pm25_avg24,pm25_iaqi,data_source,create_date,miss_data,this_id
621,2013/12/2,18,110000002,NULL,NULL,3200,NULL,4000,32,106,NULL,83,53,69,NULL,69,23,7,NULL,17,6,198,NULL,160,105,194,NULL,151,201,2,59:02.2,1,0
622,2013/12/2,19,110000002,NULL,NULL,3200,NULL,4000,32,106,NULL,83,53,69,NULL,69,23,7,NULL,17,6,198,NULL,160,105,194,NULL,151,201,2,59:02.2,1,1
623,2013/12/2,20,110000002,NULL,NULL,4000,NULL,4000,40,102,NULL,83,51,82,NULL,70,28,11,NULL,17,6,206,NULL,162,106,214,NULL,154,204,2,59:02.2,1,2
624,2013/12/2,21,110000002,NULL,NULL,2000,NULL,4000,20,70,NULL,83,35,76,NULL,71,26,3,NULL,17,6,101,NULL,160,105,121,NULL,153,203,2,59:02.2,1,3
625,2013/12/2,22,110000002,NULL,NULL,3000,NULL,4000,30,71,NULL,83,36,110,NULL,76,37,13,NULL,17,6,129,NULL,162,106,126,NULL,155,205,2,59:02.2,1,4
626,2013/12/2,23,110000002,NULL,NULL,1500,NULL,4000,15,60,NULL,82,30,79,NULL,77,27,9,NULL,17,6,75,NULL,161,106,86,NULL,154,204,2,59:02.2,1,5
627,2013/12/3,0,110000002,NULL,NULL,1400,NULL,4000,14,58,NULL,82,29,81,NULL,78,27,8,NULL,17,6,78,NULL,159,105,72,NULL,151,201,2,59:02.2,1,6
628,2013/12/3,1,110000002,NULL,NULL,1400,NULL,4000,14,58,NULL,82,29,87,NULL,80,29,8,NULL,17,6,77,NULL,156,103,74,NULL,148,197,2,59:02.2,1,7
629,2013/12/3,2,110000002,NULL,NULL,1300,NULL,4000,13,56,NULL,81,28,85,NULL,81,29,8,NULL,17,6,84,NULL,155,103,70,NULL,146,194,2,59:02.2,1,8
630,2013/12/3,3,110000002,NULL,NULL,1100,NULL,4000,12,51,NULL,81,26,73,NULL,82,25,8,NULL,17,6,81,NULL,151,101,61,NULL,142,188,2,59:02.2,1,9
631,2013/12/3,4,110000002,NULL,NULL,1100,NULL,3000,12,43,NULL,81,NULL,61,NULL,83,21,9,NULL,17,6,66,NULL,148,99,54,NULL,139,184,2,59:02.2,1no2,10
